name,system,score,NonSecreted.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
WP_151093400.1,VI,0.6621,0.052,0.2054,0.0042,0.0762,1e-04,0.6621,406
WP_151093485.1,II,0.8339,0.0605,0.0156,0.8339,0.0034,0.0828,0.0038,227
WP_151093507.1,II,0.5351,0.015,0.0272,0.5351,0.0763,0.0017,0.3446,1297
WP_151093557.1,VI,0.7196,0.1803,0.0756,0.0135,0.0018,0.0092,0.7196,152
WP_151093584.1,VI,0.5526,0.0072,0.02,0.4095,0.007,0.0036,0.5526,371
WP_151093602.1,II,0.7842,0.155,0.0107,0.7842,0.0414,0.0074,0.0013,399
WP_151093629.1,VI,0.9997,1e-04,1e-04,0.0,0.0,0.0,0.9997,720
WP_151093631.1,VI,0.7166,0.1061,0.0134,0.0015,0.0035,0.1589,0.7166,198
WP_151093698.1,VI,0.7104,0.2116,0.0452,0.0027,0.012,0.0182,0.7104,127
WP_151093716.1,VI,0.3592,0.3211,0.0156,0.0013,0.2712,0.0316,0.3592,142
WP_151093777.1,II,0.4789,0.2707,0.0704,0.4789,0.0074,0.1698,0.0028,230
WP_151093789.1,II,0.9631,0.0224,0.0059,0.9631,0.0019,0.0012,0.0055,801
WP_151093797.1,II,0.9363,0.0128,0.0237,0.9363,0.0012,0.007,0.019,684
WP_151093844.1,II,0.5552,0.004,0.0389,0.5552,0.0399,0.0436,0.3184,684
WP_151093876.1,II,0.3691,0.2283,0.0078,0.3691,0.0264,0.2813,0.0871,136
WP_151093882.1,VI,0.4199,0.0717,0.0013,0.3404,0.1422,0.0244,0.4199,190
WP_151093886.1,II,0.739,0.1627,0.0505,0.739,0.0141,0.0169,0.0169,554
WP_151093904.1,II,0.8024,0.134,0.0117,0.8024,0.0108,0.0199,0.0211,1071
WP_151093906.1,VI,0.5056,0.0767,0.0049,0.0019,0.4106,0.0003,0.5056,330
WP_151094069.1,II,0.6941,0.1557,0.1131,0.6941,0.0051,0.0293,0.0027,219
WP_151094203.1,VI,0.7751,0.0215,0.0061,0.0005,0.0751,0.1217,0.7751,149
WP_151094211.1,I,0.936,1e-04,0.936,0.0011,0.0523,0.001,0.0096,2381
WP_151094217.1,II,0.6835,0.0655,0.0406,0.6835,0.0048,0.0185,0.1871,771
WP_151094231.1,VI,0.9733,0.0007,0.0146,0.0025,0.009,0.0,0.9733,728
WP_151094239.1,VI,0.2944,0.1151,0.0013,0.2692,0.2044,0.1156,0.2944,205
WP_151094448.1,VI,0.5333,0.0005,0.0016,0.0014,0.4629,0.0003,0.5333,1821
WP_151094544.1,I,0.5807,0.0104,0.5807,0.0065,0.0492,0.0105,0.3427,623
WP_151094584.1,II,0.9233,0.0318,0.0067,0.9233,0.0049,0.005,0.0282,555
WP_151094587.1,II,0.6176,0.1895,0.0026,0.6176,0.0079,0.01,0.1724,343
WP_151094721.1,VI,0.6478,0.0665,0.0026,0.0376,0.2015,0.0439,0.6478,556
WP_151094748.1,VI,0.6664,0.0013,0.2253,0.005,0.1016,0.0005,0.6664,131
WP_151094758.1,VI,0.9975,0.0006,0.0009,0.0003,1e-04,0.0006,0.9975,716
WP_151094768.1,VI,0.9965,0.0021,0.0011,1e-04,0.0002,0.0,0.9965,1102
WP_151094776.1,VI,0.9995,1e-04,0.0,0.0,0.0,0.0003,0.9995,967
WP_151094792.1,VI,0.95,0.0076,0.022,0.0074,0.013,0.0,0.95,621
WP_151094806.1,VI,0.9976,1e-04,0.0002,0.0,0.0019,0.0,0.9976,189
WP_151094810.1,II,0.9316,0.0239,0.0198,0.9316,0.0145,0.0085,0.0017,548
WP_151094850.1,II,0.4495,0.4249,0.0438,0.4495,0.0457,0.0039,0.0321,385
WP_151094939.1,VI,0.5597,0.2904,0.0029,0.0031,0.0576,0.0862,0.5597,403
WP_151094968.1,II,0.5807,0.0416,0.0889,0.5807,0.0973,0.0123,0.1793,1124
WP_151095034.1,VI,0.7689,0.1188,0.0083,0.0007,0.0287,0.0746,0.7689,462
WP_151095101.1,VI,0.7847,0.0146,0.004,0.1769,0.0094,0.0103,0.7847,448
WP_151095103.1,VI,0.8797,0.0291,0.007,0.0305,0.0019,0.0518,0.8797,459
WP_151095135.1,I,0.9986,0.0,0.9986,0.0005,0.0007,1e-04,1e-04,1005
WP_151095147.1,II,0.905,0.0358,0.0263,0.905,0.0014,0.0125,0.019,700
WP_151095161.1,VI,0.7929,0.1556,0.0052,0.0034,0.0316,0.0112,0.7929,446
WP_151095165.1,II,0.4385,0.182,0.0076,0.4385,0.082,0.0219,0.2681,291
WP_151095191.1,VI,0.6835,0.0295,0.003,0.0006,0.2829,0.0005,0.6835,183
WP_151095216.1,II,0.4613,0.4517,0.0043,0.4613,0.0191,0.0129,0.0508,350
WP_151095218.1,II,0.745,0.2014,0.0034,0.745,0.0165,0.0234,0.0104,487
WP_151095222.1,VI,0.6382,0.1408,0.0029,0.1393,0.0477,0.0312,0.6382,350
WP_151095263.1,VI,0.8856,0.0037,0.0127,0.0057,0.0165,0.0759,0.8856,445
WP_151095281.1,VI,0.5679,0.4255,0.0011,0.0016,0.0008,0.0031,0.5679,328
WP_151095283.1,VI,0.8485,0.1081,0.0027,0.0014,0.0172,0.022,0.8485,339
WP_151095285.1,VI,0.6492,0.1872,0.0009,0.0004,0.0347,0.1276,0.6492,620
WP_151095321.1,VI,0.3441,0.3193,0.0139,0.0079,0.2278,0.087,0.3441,283
WP_151095370.1,VI,0.669,0.2291,0.0068,0.0006,0.078,0.0165,0.669,121
WP_151095474.1,VI,0.8408,0.0044,0.0021,0.0003,0.1494,0.0031,0.8408,105
WP_151095486.1,VI,0.7976,0.0891,0.0026,0.009,0.027,0.0747,0.7976,193
WP_151095553.1,II,0.768,0.1885,0.0047,0.768,0.0032,0.0057,0.0299,619
WP_151095715.1,VI,0.6092,0.2664,0.0018,0.1153,0.0046,0.0027,0.6092,624
WP_151095807.1,II,0.6009,0.357,0.0127,0.6009,0.0037,0.0158,0.0098,669
WP_151095870.1,VI,0.9331,0.0221,0.0049,0.0101,0.0287,0.0011,0.9331,1006
WP_151095882.1,VI,0.9524,0.0003,0.0055,0.0004,0.0367,0.0048,0.9524,453
WP_151095888.1,II,0.776,0.1374,0.0028,0.776,0.0205,0.0291,0.0342,490
WP_151095900.1,VI,0.8865,0.1063,0.006,0.0002,0.0003,0.0007,0.8865,138
WP_151095942.1,VI,0.5917,0.007,0.0136,0.0029,0.3824,0.0023,0.5917,463
WP_151095972.1,VI,0.6686,0.2634,0.0018,0.0006,0.0502,0.0154,0.6686,346
WP_151095983.1,VI,0.593,0.0209,0.0624,0.0082,0.314,0.0016,0.593,417
WP_151096008.1,VI,0.5589,0.032,0.0158,0.0013,0.3816,0.0105,0.5589,724
WP_151096021.1,II,0.6276,0.2913,0.0222,0.6276,0.0297,0.0105,0.0186,601
WP_151096024.1,II,0.855,0.0734,0.0232,0.855,0.0459,0.0015,0.0009,479
WP_151096027.1,II,0.8379,0.0881,0.029,0.8379,0.0259,0.001,0.0181,284
WP_151096057.1,VI,0.4856,0.4463,0.0023,0.002,0.008,0.0558,0.4856,410
WP_151096080.1,VI,0.3487,0.3294,0.0005,0.0006,0.0151,0.3057,0.3487,1250
WP_151096089.1,VI,0.8999,0.0673,0.0037,0.0007,0.0119,0.0165,0.8999,240
WP_151096143.1,II,0.8286,0.0869,0.0288,0.8286,0.0036,0.0292,0.0229,383
WP_151096189.1,II,0.729,0.0835,0.0959,0.729,0.0337,0.0286,0.0293,873
WP_151096224.1,II,0.8478,0.0492,0.024,0.8478,0.0026,0.0142,0.0623,304
WP_151096284.1,II,0.7783,0.1034,0.0414,0.7783,0.0436,0.0027,0.0306,753
WP_151096288.1,VI,0.7082,0.0046,0.1834,0.0048,0.099,1e-04,0.7082,440
WP_151096289.1,VI,0.9649,0.0003,0.0042,0.0011,0.0295,1e-04,0.9649,284
WP_151096290.1,VI,0.5233,0.0041,0.2689,0.0066,0.1969,1e-04,0.5233,612
WP_151096291.1,VI,0.9768,0.0004,0.0055,0.0013,0.016,0.0,0.9768,276
WP_151096292.1,VI,0.5407,0.001,0.1719,0.0191,0.2668,0.0004,0.5407,234
WP_151096293.1,VI,0.715,0.0004,0.0691,0.0073,0.2082,1e-04,0.715,94
WP_151096294.1,VI,0.4307,0.0008,0.3986,0.0094,0.1604,1e-04,0.4307,724
WP_151096295.1,VI,0.9979,1e-04,0.0007,1e-04,0.0012,0.0,0.9979,489
WP_151096297.1,VI,0.9679,0.0125,0.0015,0.0002,0.0111,0.0068,0.9679,147
WP_151096346.1,VI,0.9969,0.0023,0.0005,0.0,0.0002,0.0,0.9969,865
WP_151096347.1,VI,0.9984,1e-04,0.0003,1e-04,1e-04,0.0009,0.9984,642
WP_151096368.1,VI,0.3528,0.3236,0.0093,0.0011,0.3053,0.0079,0.3528,115
WP_151096371.1,VI,0.7504,0.1515,0.0019,0.0002,0.0909,0.0051,0.7504,217
WP_151096403.1,II,0.485,0.1607,0.0255,0.485,0.1174,0.0174,0.1941,562
WP_151096451.1,VI,0.4377,0.3914,0.0011,0.0019,0.1073,0.0605,0.4377,92
WP_151096453.1,II,0.7441,0.1903,0.0298,0.7441,0.0022,0.0327,0.0008,326
WP_151096470.1,II,0.5806,0.2362,0.1266,0.5806,0.006,0.0475,0.003,213
WP_151096480.1,VI,0.3692,0.3363,0.0193,0.0029,0.2624,0.01,0.3692,619
WP_151096503.1,II,0.4143,0.1581,0.2595,0.4143,0.0038,0.0033,0.1611,747
WP_151096504.1,II,0.3767,0.2862,0.0015,0.3767,0.1366,0.0088,0.1901,466
WP_151096558.1,VI,0.966,0.0188,0.011,0.0007,0.0011,0.0023,0.966,475
WP_151096584.1,II,0.5016,0.0054,0.0288,0.5016,0.0055,0.0113,0.4475,203
WP_151096587.1,VI,0.7473,0.0096,0.1849,0.005,0.0497,0.0036,0.7473,177
WP_151096588.1,VI,0.6807,0.0826,0.154,0.0073,0.0625,0.0129,0.6807,177
WP_151096616.1,II,0.4364,0.329,0.2043,0.4364,0.0065,0.009,0.0149,2635
WP_151096685.1,VI,0.8002,0.0375,0.0251,0.0023,0.1343,0.0006,0.8002,170
WP_151096785.1,VI,0.4447,0.0165,0.3718,0.0226,0.1426,0.0019,0.4447,250
WP_151096789.1,II,0.5433,0.1141,0.0385,0.5433,0.0051,0.0165,0.2824,710
WP_151096797.1,II,0.5809,0.3662,0.0007,0.5809,0.0191,0.0095,0.0236,132
WP_151096800.1,II,0.5948,0.2855,0.0054,0.5948,0.0196,0.041,0.0536,722
WP_151096838.1,II,0.9452,0.0103,0.0139,0.9452,0.0107,0.0027,0.0172,706
WP_151096841.1,VI,0.5164,0.0013,0.1088,0.0044,0.3688,0.0004,0.5164,504
WP_151096855.1,VI,0.5879,0.2697,0.01,0.0534,0.0768,0.0021,0.5879,1024
WP_151096863.1,II,0.7444,0.0364,0.1136,0.7444,0.0083,0.0072,0.0902,823
WP_151096906.1,VI,0.3656,0.2114,0.0043,0.0022,0.3616,0.0549,0.3656,213
WP_151096941.1,II,0.9786,0.0068,0.0025,0.9786,0.0046,0.003,0.0046,545
WP_151096942.1,II,0.922,0.0287,0.0024,0.922,0.0322,0.007,0.0077,523
WP_151096982.1,VI,0.7619,0.1597,0.0027,0.0004,0.0455,0.0299,0.7619,139
WP_151097052.1,II,0.5408,0.2185,0.0103,0.5408,0.0985,0.0583,0.0736,359
WP_151097074.1,VI,0.582,0.4091,0.0025,0.0011,0.0017,0.0036,0.582,754
WP_151097172.1,VI,0.8989,0.0142,0.0685,0.0029,0.0145,0.001,0.8989,350
WP_151097201.1,VI,0.4605,0.2155,0.0078,0.0013,0.2858,0.0291,0.4605,166
WP_151097236.1,II,0.9263,0.0397,0.0198,0.9263,0.0013,0.0054,0.0076,463
WP_151097278.1,II,0.8046,0.0335,0.0025,0.8046,0.087,0.0019,0.0705,629
WP_151097301.1,VI,0.4004,0.1115,0.2825,0.1446,0.0383,0.0225,0.4004,289
WP_151097488.1,VI,0.4453,0.3861,0.0018,0.0059,0.1163,0.0446,0.4453,496
WP_151097573.1,VI,0.9675,0.0043,0.0259,0.0006,0.0017,1e-04,0.9675,77
WP_151097588.1,VI,0.7751,0.0203,0.0039,0.1073,0.0921,0.0013,0.7751,290
WP_151097864.1,II,0.653,0.2078,0.0879,0.653,0.0113,0.0331,0.0068,206
WP_151097910.1,VI,0.9282,0.008,0.0576,0.0011,0.0049,0.0002,0.9282,80
WP_175445124.1,II,0.558,0.2107,0.0551,0.558,0.0423,0.1168,0.017,244
WP_191909551.1,I,0.5444,0.0066,0.5444,0.0292,0.2265,0.003,0.1903,527
WP_191909557.1,II,0.5881,0.3639,0.0026,0.5881,0.0261,0.0086,0.0107,445
WP_191909558.1,VI,0.7069,0.1641,0.0581,0.0535,0.0013,0.016,0.7069,1376
WP_191909561.1,I,0.4488,0.1797,0.4488,0.3281,0.011,0.0126,0.0199,1991
WP_191909563.1,II,0.54,0.11,0.0432,0.54,0.1217,0.0274,0.1576,559
WP_191909575.1,VI,0.4708,0.362,0.0248,0.1058,0.0248,0.0117,0.4708,515
WP_191909579.1,VI,0.6436,0.1924,0.0031,0.0042,0.0899,0.0668,0.6436,410
WP_191909590.1,VI,0.4957,0.3195,0.0064,0.0092,0.0503,0.1189,0.4957,359
WP_191909592.1,II,0.7387,0.1585,0.014,0.7387,0.0085,0.07,0.0103,565
WP_191909607.1,VI,0.7113,0.2625,0.008,0.0006,0.0028,0.0148,0.7113,161
WP_191909611.1,VI,0.8957,0.0267,0.0055,0.0555,0.0022,0.0144,0.8957,376
WP_191909648.1,II,0.4097,0.0589,0.0134,0.4097,0.0153,0.1359,0.3669,567
WP_191909649.1,VI,0.6587,0.2337,0.005,0.0024,0.0959,0.0043,0.6587,276
WP_191909669.1,VI,0.9899,0.0052,0.003,0.0006,0.0008,0.0005,0.9899,1018
WP_191909679.1,II,0.7622,0.0161,0.0665,0.7622,0.0988,0.0071,0.0493,695
WP_191909712.1,VI,0.9991,1e-04,0.0003,1e-04,0.0004,1e-04,0.9991,157
WP_191909713.1,I,0.9866,0.0012,0.9866,0.0065,0.0002,0.0009,0.0047,1170
WP_191909725.1,VI,0.8966,0.0429,0.0414,0.0005,0.0157,0.0028,0.8966,1546
WP_191909729.1,VI,0.8169,0.1168,0.0241,0.0055,0.0348,0.0018,0.8169,776
WP_191909731.1,II,0.7074,0.0991,0.0141,0.7074,0.034,0.0553,0.0902,195
WP_191909737.1,II,0.822,0.0275,0.0516,0.822,0.0179,0.0683,0.0127,3877
WP_191909753.1,I,0.9801,0.0005,0.9801,0.0055,0.002,0.0003,0.0115,2611
WP_191909755.1,VI,0.4992,0.0006,0.4532,0.0345,0.0123,0.0003,0.4992,248
WP_191909803.1,VI,0.4487,0.332,0.0288,0.0009,0.127,0.0627,0.4487,82
WP_208672420.1,II,0.566,0.0971,0.0385,0.566,0.0358,0.0982,0.1643,1020
WP_208672433.1,I,0.4413,0.0443,0.4413,0.0018,0.0427,0.0298,0.4402,53
WP_208672436.1,I,0.7059,0.0225,0.7059,0.094,0.0899,0.0163,0.0715,771
WP_208672524.1,VI,0.4978,0.3527,0.003,0.0025,0.137,0.007,0.4978,290
WP_225317136.1,VI,0.6986,0.2743,0.0028,0.0025,0.021,0.0008,0.6986,220
WP_225317144.1,VI,0.5273,0.2605,0.051,0.0186,0.1343,0.0082,0.5273,424
WP_225317182.1,II,0.5146,0.0493,0.3639,0.5146,0.0094,0.0318,0.031,591
WP_225317220.1,II,0.4751,0.3403,0.007,0.4751,0.0245,0.0073,0.1458,1117
WP_225317222.1,VI,0.9166,0.0753,0.0034,0.0004,0.0023,0.0021,0.9166,219
WP_225317242.1,II,0.4982,0.3859,0.0292,0.4982,0.0132,0.0703,0.0033,217
WP_225317244.1,II,0.948,0.0164,0.0032,0.948,0.0076,0.0017,0.0231,485
WP_225317266.1,VI,0.9914,0.0025,0.0014,1e-04,0.0044,0.0002,0.9914,117
WP_225317277.1,II,0.6128,0.2965,0.0095,0.6128,0.0127,0.0577,0.0109,559
WP_225317296.1,VI,0.9969,0.0021,0.0007,0.0,0.0003,0.0,0.9969,935
WP_225317298.1,VI,0.494,0.3572,0.1129,0.0101,0.0241,0.0017,0.494,210
WP_225317305.1,II,0.832,0.0414,0.0304,0.832,0.0193,0.0143,0.0624,438
WP_225317317.1,II,0.9157,0.0271,0.0393,0.9157,0.004,0.0027,0.0112,449
WP_225317318.1,VI,0.9644,0.0125,0.0139,0.0058,0.0029,0.0006,0.9644,655
WP_225317382.1,VI,0.51,0.3722,0.0141,0.0741,0.0191,0.0105,0.51,165
WP_225317399.1,VI,0.9974,0.0006,0.0005,0.0002,1e-04,0.0012,0.9974,744
WP_225317400.1,VI,0.9934,0.0057,0.0003,1e-04,0.0006,0.0,0.9934,528
WP_225317403.1,I,0.6763,0.1933,0.6763,0.0297,0.0797,0.0094,0.0115,891
WP_225317405.1,II,0.8978,0.0567,0.0151,0.8978,0.0047,0.0043,0.0214,536
WP_225317443.1,II,0.5051,0.3022,0.0117,0.5051,0.0213,0.0179,0.1418,649
WP_225317486.1,VI,0.5912,0.0498,0.3258,0.0127,0.0122,0.0082,0.5912,85
WP_263643053.1,II,0.8543,0.0426,0.0366,0.8543,0.0044,0.0038,0.0583,645
WP_306508876.1,II,0.8628,0.072,0.0137,0.8628,0.0148,0.0158,0.0209,316
WP_404811484.1,I,0.9112,0.0263,0.9112,0.0343,0.0008,0.0007,0.0267,3454
WP_404811498.1,VI,0.8892,0.1022,0.0063,0.0002,0.0007,0.0013,0.8892,90
