name,system,score,NonSecreted.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
lcl|NC_002516.2_prot_NP_249240.1_551,VI,0.7342,0.078,0.0007,0.0018,0.1841,0.0013,0.7342,354
lcl|NC_002516.2_prot_NP_249257.1_568,III,0.9153,0.0717,0.0006,0.0005,0.9153,0.0112,0.0006,171
lcl|NC_002516.2_prot_NP_249259.1_570,III,0.6678,0.0256,0.0021,0.0004,0.6678,0.0989,0.2052,152
lcl|NC_002516.2_prot_NP_249260.1_571,III,0.6063,0.2222,0.0026,0.0003,0.6063,0.0769,0.0916,156
lcl|NC_002516.2_prot_NP_249261.1_572,III,0.4233,0.3569,0.0042,0.0012,0.4233,0.0138,0.2006,115
lcl|NC_002516.2_prot_NP_249263.1_574,II,0.93,0.0368,0.0025,0.93,0.0086,0.0092,0.0128,923
lcl|NC_002516.2_prot_NP_249306.1_617,VI,0.8109,0.0788,0.0019,0.0011,0.0973,0.0101,0.8109,171
lcl|NC_002516.2_prot_NP_249307.1_618,VI,0.9879,0.0003,0.0041,0.0002,0.0074,1e-04,0.9879,185
lcl|NC_002516.2_prot_NP_249311.1_622,VI,0.8909,0.0295,0.0515,0.0037,0.024,0.0003,0.8909,691
lcl|NC_002516.2_prot_NP_249314.1_625,VI,0.9968,0.0005,0.0006,1e-04,0.002,0.0,0.9968,167
lcl|NC_002516.2_prot_NP_249315.1_626,III,0.8916,0.0298,0.0021,0.0005,0.8916,0.0033,0.0727,114
lcl|NC_002516.2_prot_NP_249316.1_627,VI,0.7493,0.0384,0.0809,0.0039,0.1211,0.0065,0.7493,745
lcl|NC_002516.2_prot_NP_249317.1_628,VI,0.9272,0.0038,0.0014,0.0004,0.0666,0.0007,0.9272,290
lcl|NC_002516.2_prot_NP_249319.1_630,VI,0.9879,0.0014,0.0004,0.0,0.0099,0.0004,0.9879,329
lcl|NC_002516.2_prot_NP_249324.1_634,VI,0.9959,0.0,0.0014,0.0003,0.0023,0.0,0.9959,164
lcl|NC_002516.2_prot_NP_249325.1_635,III,0.7925,0.0211,0.0027,0.0004,0.7925,0.0462,0.1371,115
lcl|NC_002516.2_prot_NP_249327.1_637,VI,0.703,0.0928,0.1603,0.0017,0.0413,0.0008,0.703,611
lcl|NC_002516.2_prot_NP_249328.1_638,VI,0.9951,0.0002,0.0012,0.0002,0.0033,0.0,0.9951,113
lcl|NC_002516.2_prot_NP_249329.1_639,VI,0.9866,1e-04,0.004,0.0002,0.0091,1e-04,0.9866,231
lcl|NC_002516.2_prot_NP_249331.1_641,VI,0.9613,0.0016,0.0022,0.0003,0.0311,0.0036,0.9613,200
lcl|NC_002516.2_prot_NP_249332.1_642,VI,0.9686,0.025,0.0045,0.0006,0.001,0.0003,0.9686,1204
lcl|NC_002516.2_prot_NP_249334.1_643,VI,0.9561,0.0012,0.0381,0.002,0.0026,0.0,0.9561,363
lcl|NC_002516.2_prot_NP_249337.1_646,VI,0.9152,0.0014,0.0755,0.0032,0.0048,0.0,0.9152,350
lcl|NC_002516.2_prot_NP_249338.1_647,III,0.9902,0.0024,0.0009,1e-04,0.9902,0.0039,0.0026,100
lcl|NC_002516.2_prot_NP_249363.1_672,III,0.5847,0.3717,0.0022,0.0017,0.5847,0.0343,0.0054,198
lcl|NC_002516.2_prot_NP_249379.1_688,II,0.9833,0.0074,0.0039,0.9833,0.0026,0.002,0.0008,368
lcl|NC_002516.2_prot_NP_249380.1_689,II,0.9167,0.0381,0.0122,0.9167,0.0091,0.0115,0.0124,370
lcl|NC_002516.2_prot_NP_249381.1_690,II,0.7283,0.1246,0.0974,0.7283,0.0076,0.0031,0.039,4180
lcl|NC_002516.2_prot_NP_249389.1_698,III,0.9475,0.0264,0.0008,0.0005,0.9475,0.0119,0.0128,159
lcl|NC_002516.2_prot_NP_249392.1_701,III,0.495,0.439,0.0008,0.0007,0.495,0.0223,0.0422,328
lcl|NC_002516.2_prot_NP_249398.1_708,III,0.9735,0.0175,0.0003,0.0003,0.9735,0.0078,0.0006,259
lcl|NC_002516.2_prot_NP_249411.1_720,VI,0.6778,0.0126,0.0017,0.0008,0.2078,0.0993,0.6778,144
lcl|NC_002516.2_prot_NP_249418.1_727,VI,0.8745,0.0387,0.0006,0.0002,0.0678,0.0183,0.8745,430
lcl|NC_002516.2_prot_NP_249468.1_777,II,0.4249,0.3885,0.0035,0.4249,0.1059,0.0109,0.0663,250
lcl|NC_002516.2_prot_NP_249494.1_804,III,0.5502,0.2849,0.0033,0.0013,0.5502,0.1026,0.0576,146
lcl|NC_002516.2_prot_NP_249496.1_806,III,0.979,0.0045,0.0008,0.0004,0.979,0.0139,0.0014,75
lcl|NC_002516.2_prot_NP_249510.1_820,III,0.9962,0.0016,0.0002,0.0,0.9962,0.0017,0.0003,97
lcl|NC_002516.2_prot_NP_249512.1_822,III,0.6924,0.031,0.0015,0.0044,0.6924,0.0101,0.2605,362
lcl|NC_002516.2_prot_NP_249514.1_823,III,0.9741,0.0053,0.0003,0.0,0.9741,0.0183,0.0019,77
lcl|NC_002516.2_prot_NP_249515.1_824,VI,0.8858,0.0787,0.0243,0.002,0.0088,0.0004,0.8858,172
lcl|NC_002516.2_prot_NP_249535.1_844,II,0.5251,0.3834,0.0418,0.5251,0.0223,0.0062,0.0212,730
lcl|NC_002516.2_prot_NP_249543.1_852,II,0.9495,0.0366,0.0021,0.9495,0.0013,0.0009,0.0096,389
lcl|NC_002516.2_prot_NP_249546.1_855,VI,0.4764,0.0853,0.0024,0.0016,0.434,0.0003,0.4764,339
lcl|NC_002516.2_prot_NP_249558.1_867,VI,0.7146,0.2712,0.0018,0.0065,0.0004,0.0056,0.7146,127
lcl|NC_002516.2_prot_NP_249591.1_900,III,0.9242,0.009,0.03,0.0024,0.9242,0.0115,0.023,96
lcl|NC_002516.2_prot_NP_249601.1_910,III,0.9842,0.0004,0.0004,1e-04,0.9842,1e-04,0.0148,167
lcl|NC_002516.2_prot_NP_249602.1_911,III,0.8563,0.0569,0.0024,1e-04,0.8563,0.073,0.0112,150
lcl|NC_002516.2_prot_NP_249603.1_912,VI,0.3338,0.2223,0.0014,0.1592,0.0285,0.2548,0.3338,179
lcl|NC_002516.2_prot_NP_249620.1_929,III,0.8186,0.1708,0.0015,0.001,0.8186,0.003,0.0052,239
lcl|NC_002516.2_prot_NP_249630.1_939,III,0.9277,0.06,1e-04,0.0002,0.9277,0.0117,0.0004,108
lcl|NC_002516.2_prot_NP_249631.1_940,III,0.6699,0.1292,0.0041,0.0005,0.6699,0.1814,0.0148,84
lcl|NC_002516.2_prot_NP_249640.1_949,III,0.5139,0.4652,0.0033,0.0029,0.5139,0.0108,0.004,198
lcl|NC_002516.2_prot_NP_249643.1_953,III,0.9163,0.0467,0.0039,0.0002,0.9163,0.0016,0.0313,127
lcl|NC_002516.2_prot_NP_249672.1_980,II,0.6355,0.2313,0.0035,0.6355,0.0039,0.0935,0.0324,207
lcl|NC_002516.2_prot_NP_249676.1_984,VI,0.9968,0.0008,0.0009,1e-04,0.0002,0.0012,0.9968,498
lcl|NC_002516.2_prot_NP_249679.1_987,III,0.6359,0.2975,0.0007,0.0005,0.6359,0.0626,0.0029,134
lcl|NC_002516.2_prot_NP_249683.1_990,II,0.9026,0.0337,0.0284,0.9026,0.0022,0.0224,0.0107,205
lcl|NC_002516.2_prot_NP_249688.1_995,III,0.7519,0.222,0.0041,0.0012,0.7519,0.0123,0.0086,283
lcl|NC_002516.2_prot_NP_249721.1_1028,VI,0.4215,0.1959,0.003,0.0028,0.3704,0.0064,0.4215,251
lcl|NC_002516.2_prot_NP_249729.1_1036,III,0.9975,0.0002,0.0002,0.0002,0.9975,0.0002,0.0018,105
lcl|NC_002516.2_prot_NP_249731.1_1038,III,0.8104,0.1482,0.0011,0.0038,0.8104,0.0357,0.0008,165
lcl|NC_002516.2_prot_NP_249732.1_1039,II,0.3439,0.2614,0.0313,0.3439,0.0573,0.1319,0.1741,210
lcl|NC_002516.2_prot_NP_249734.1_1041,VI,0.4489,0.1629,0.1076,0.1737,0.0543,0.0526,0.4489,269
lcl|NC_002516.2_prot_NP_249753.1_1061,III,0.4918,0.07,0.0044,0.0007,0.4918,0.4215,0.0117,173
lcl|NC_002516.2_prot_NP_249754.1_1062,III,0.493,0.4378,0.0022,0.0008,0.493,0.047,0.0191,83
lcl|NC_002516.2_prot_NP_249767.1_1075,III,0.8856,0.0471,0.0016,0.0003,0.8856,0.0172,0.0481,120
lcl|NC_002516.2_prot_NP_249782.1_1090,III,0.821,0.1166,0.0034,0.0014,0.821,0.0057,0.0518,1694
lcl|NC_002516.2_prot_NP_249784.1_1092,III,0.9959,0.0005,0.0024,0.001,0.9959,0.0,0.0002,123
lcl|NC_002516.2_prot_NP_249802.1_1110,III,0.9757,0.0012,0.0034,0.0004,0.9757,0.0012,0.0181,207
lcl|NC_002516.2_prot_NP_249814.1_1123,III,0.8789,0.0513,0.0027,0.0006,0.8789,0.0587,0.0078,106
lcl|NC_002516.2_prot_NP_249823.1_1132,III,0.4617,0.0062,0.0078,0.002,0.4617,0.1725,0.3498,229
lcl|NC_002516.2_prot_NP_249824.1_1133,III,0.7862,0.1437,0.0006,0.0002,0.7862,0.0324,0.0369,116
lcl|NC_002516.2_prot_NP_249840.1_1149,III,0.7984,0.004,0.0021,0.1672,0.7984,0.0055,0.0228,122
lcl|NC_002516.2_prot_NP_249841.1_1150,VI,0.9958,0.001,0.0028,1e-04,0.0002,1e-04,0.9958,689
lcl|NC_002516.2_prot_NP_249844.1_1152,III,0.9878,0.0059,0.0008,0.0006,0.9878,0.0003,0.0045,184
lcl|NC_002516.2_prot_NP_249850.1_1158,VI,0.6041,0.351,0.0239,0.001,0.0099,0.0101,0.6041,69
lcl|NC_002516.2_prot_NP_249851.1_1159,VI,0.7264,0.0071,0.001,0.0002,0.251,0.0143,0.7264,127
lcl|NC_002516.2_prot_NP_249858.1_1166,III,0.3714,0.0153,0.1995,0.3164,0.3714,0.0041,0.0933,223
lcl|NC_002516.2_prot_NP_249859.1_1167,I,0.9758,0.0004,0.9758,0.0071,0.0147,0.0012,0.0008,106
lcl|NC_002516.2_prot_NP_249860.1_1168,II,0.6577,0.1274,0.0125,0.6577,0.1727,0.0143,0.0153,685
lcl|NC_002516.2_prot_NP_249862.1_1170,II,0.4916,0.2667,0.0106,0.4916,0.1692,0.0273,0.0346,398
lcl|NC_002516.2_prot_NP_249902.1_1210,III,0.6804,0.2559,0.0016,0.0006,0.6804,0.0261,0.0353,211
lcl|NC_002516.2_prot_NP_249904.1_1212,III,0.7291,0.2541,0.0026,0.0053,0.7291,0.0067,0.0023,319
lcl|NC_002516.2_prot_NP_249911.1_1219,III,0.959,0.0349,0.0003,0.0004,0.959,0.0044,0.001,420
lcl|NC_002516.2_prot_NP_249918.1_1226,III,0.9051,0.0669,0.0017,0.0007,0.9051,0.0209,0.0047,282
lcl|NC_002516.2_prot_NP_249919.1_1227,III,0.3781,0.2058,0.0039,0.0003,0.3781,0.2552,0.1567,116
lcl|NC_002516.2_prot_NP_249925.1_1233,III,0.5399,0.4423,0.0013,0.0028,0.5399,0.0122,0.0015,167
lcl|NC_002516.2_prot_NP_249936.1_1244,I,0.8315,1e-04,0.8315,0.0018,0.1554,0.003,0.0081,414
lcl|NC_002516.2_prot_NP_249940.1_1248,I,0.9973,1e-04,0.9973,0.0017,0.0005,0.0002,0.0002,479
lcl|NC_002516.2_prot_NP_249980.1_1288,III,0.8456,0.1344,0.0007,0.0014,0.8456,0.0011,0.0167,159
lcl|NC_002516.2_prot_NP_250005.1_1313,III,0.5926,0.3177,0.0011,0.001,0.5926,0.0538,0.0337,128
lcl|NC_002516.2_prot_NP_250018.1_1326,VI,0.9584,0.0299,0.0013,0.0005,0.008,0.0019,0.9584,656
lcl|NC_002516.2_prot_NP_250023.1_1331,VI,0.4597,0.2599,0.0076,0.0003,0.0707,0.2018,0.4597,183
lcl|NC_002516.2_prot_NP_250053.1_1361,III,0.9988,0.0006,1e-04,1e-04,0.9988,0.0003,0.0002,107
lcl|NC_002516.2_prot_NP_250056.1_1364,II,0.4786,0.4505,0.0045,0.4786,0.0097,0.0417,0.015,813
lcl|NC_002516.2_prot_NP_250061.1_1369,VI,0.7199,0.1877,0.0005,0.0005,0.0171,0.0744,0.7199,621
lcl|NC_002516.2_prot_NP_250069.1_1377,III,0.5136,0.0157,0.0006,1e-04,0.5136,0.4576,0.0123,120
lcl|NC_002516.2_prot_NP_250074.1_1382,II,0.9582,0.0246,0.0091,0.9582,0.0023,0.0054,0.0003,601
lcl|NC_002516.2_prot_NP_250080.1_1388,III,0.6254,0.3354,0.0005,0.0004,0.6254,0.0352,0.0031,494
lcl|NC_002516.2_prot_NP_250082.1_1390,III,0.7446,0.2287,0.0004,0.0003,0.7446,0.0203,0.0056,591
lcl|NC_002516.2_prot_NP_250095.1_1403,III,0.6676,0.0043,0.0033,0.0003,0.6676,0.2715,0.053,75
lcl|NC_002516.2_prot_NP_250111.1_1419,III,0.4584,0.1604,0.0016,0.0009,0.4584,0.3695,0.0092,139
lcl|NC_002516.2_prot_YP_008719742.1_1424,III,0.5616,0.1351,0.0016,0.0004,0.5616,0.173,0.1282,111
lcl|NC_002516.2_prot_YP_008719743.1_1426,III,0.6481,0.2306,0.008,0.0037,0.6481,0.0239,0.0858,529
lcl|NC_002516.2_prot_NP_250159.1_1467,III,0.9573,0.0337,1e-04,1e-04,0.9573,0.0084,0.0005,138
lcl|NC_002516.2_prot_NP_250200.1_1509,VI,0.5898,0.3171,0.0012,0.0052,0.0048,0.082,0.5898,380
lcl|NC_002516.2_prot_NP_250201.1_1510,VI,0.9984,0.0,0.0003,1e-04,0.0006,0.0006,0.9984,569
lcl|NC_002516.2_prot_NP_250202.1_1511,VI,0.9939,0.0053,0.0005,0.0,0.0002,1e-04,0.9939,842
lcl|NC_002516.2_prot_NP_250203.1_1512,VI,0.9992,0.0002,0.0002,1e-04,0.0003,0.0,0.9992,172
lcl|NC_002516.2_prot_NP_250236.1_1545,III,0.9998,0.0,1e-04,0.0,0.9998,0.0,0.0,155
lcl|NC_002516.2_prot_NP_250262.1_1571,III,0.9309,0.0518,0.0009,0.0007,0.9309,0.0149,0.0008,59
lcl|NC_002516.2_prot_NP_250336.1_1647,II,0.4777,0.2156,0.001,0.4777,0.2718,0.0047,0.0293,135
lcl|NC_002516.2_prot_NP_250343.1_1654,III,0.7155,0.1731,0.0021,0.0011,0.7155,0.1058,0.0024,211
lcl|NC_002516.2_prot_NP_250348.1_1659,VI,0.5275,0.1689,0.0011,0.0005,0.2696,0.0324,0.5275,168
lcl|NC_002516.2_prot_NP_250356.1_1667,III,0.6464,0.1012,0.0019,0.0022,0.6464,0.0055,0.2429,397
lcl|NC_002516.2_prot_NP_250362.1_1673,III,0.9969,0.0005,0.0006,0.0005,0.9969,0.0006,0.0008,329
lcl|NC_002516.2_prot_NP_250381.1_1692,III,0.763,0.2313,0.0004,0.0007,0.763,0.004,0.0006,349
lcl|NC_002516.2_prot_NP_250385.1_1696,III,0.9733,0.0194,0.0006,0.0006,0.9733,0.0002,0.0058,309
lcl|NC_002516.2_prot_NP_250386.1_1697,III,0.9924,0.0044,0.0003,0.0003,0.9924,0.0018,0.0008,369
lcl|NC_002516.2_prot_NP_250389.1_1700,III,0.9997,0.0,0.0002,1e-04,0.9997,0.0,0.0,288
lcl|NC_002516.2_prot_NP_250391.1_1702,III,0.9973,0.0008,1e-04,1e-04,0.9973,0.0006,0.001,123
lcl|NC_002516.2_prot_NP_250392.1_1703,III,0.8503,0.1317,0.0005,0.0002,0.8503,0.0057,0.0116,121
lcl|NC_002516.2_prot_NP_250393.1_1704,III,0.5224,0.44,0.0005,0.0004,0.5224,0.0235,0.0132,109
lcl|NC_002516.2_prot_NP_250395.1_1706,III,0.9917,0.0017,0.0003,1e-04,0.9917,0.0021,0.0041,144
lcl|NC_002516.2_prot_NP_250396.1_1707,III,0.8303,0.029,0.0003,0.0,0.8303,0.1377,0.0027,98
lcl|NC_002516.2_prot_NP_250397.1_1708,III,0.9989,0.0002,0.0003,0.0003,0.9989,0.0002,0.0002,294
lcl|NC_002516.2_prot_NP_250399.1_1710,III,0.9995,0.0,0.0003,1e-04,0.9995,0.0,1e-04,390
lcl|NC_002516.2_prot_NP_250400.1_1711,III,0.9996,0.0,1e-04,0.0,0.9996,0.0,0.0002,295
lcl|NC_002516.2_prot_NP_250401.1_1712,III,0.9077,0.0694,0.0005,0.0011,0.9077,0.0192,0.002,145
lcl|NC_002516.2_prot_NP_250402.1_1713,III,0.9986,1e-04,0.0005,0.0,0.9986,0.0004,0.0003,81
lcl|NC_002516.2_prot_NP_250406.1_1717,III,0.9954,0.0004,1e-04,1e-04,0.9954,0.0023,0.0016,140
lcl|NC_002516.2_prot_NP_250409.1_1720,III,0.9639,0.0275,1e-04,1e-04,0.9639,0.0082,0.0002,67
lcl|NC_002516.2_prot_NP_250410.1_1721,III,0.9406,0.0511,0.001,0.0007,0.9406,0.0043,0.0023,85
lcl|NC_002516.2_prot_NP_250411.1_1722,III,0.5958,0.2637,0.0005,0.0003,0.5958,0.1291,0.0106,115
lcl|NC_002516.2_prot_NP_250412.1_1723,III,0.9998,0.0,1e-04,1e-04,0.9998,0.0,0.0,143
lcl|NC_002516.2_prot_NP_250413.1_1724,III,0.9944,0.0045,0.0002,1e-04,0.9944,0.0004,0.0003,112
lcl|NC_002516.2_prot_NP_250415.1_1726,III,0.5535,0.416,0.0005,0.0005,0.5535,0.0014,0.0281,208
lcl|NC_002516.2_prot_NP_250416.1_1727,III,0.845,0.1469,0.0032,0.0008,0.845,0.0024,0.0017,214
lcl|NC_002516.2_prot_NP_250442.1_1753,III,0.7213,0.2663,0.0006,0.0009,0.7213,0.0102,0.0007,125
lcl|NC_002516.2_prot_NP_250452.1_1763,II,0.5077,0.0181,0.4455,0.5077,0.0093,0.0036,0.0158,145
lcl|NC_002516.2_prot_NP_250475.1_1786,II,0.3432,0.0067,0.3348,0.3432,0.0873,0.0177,0.2102,231
lcl|NC_002516.2_prot_YP_008719747.1_1799,III,0.4709,0.0923,0.0008,0.0003,0.4709,0.3746,0.0611,73
lcl|NC_002516.2_prot_NP_250518.1_1830,III,0.5936,0.3708,0.0084,0.0039,0.5936,0.0111,0.0122,253
lcl|NC_002516.2_prot_NP_250535.1_1848,VI,0.9981,0.0,0.0005,1e-04,0.0013,1e-04,0.9981,154
lcl|NC_002516.2_prot_NP_250543.1_1856,III,0.9966,0.0021,1e-04,0.0,0.9966,0.0007,0.0005,91
lcl|NC_002516.2_prot_NP_250546.1_1859,III,0.8075,0.1609,0.0003,1e-04,0.8075,0.0297,0.0016,73
lcl|NC_002516.2_prot_YP_008719750.1_1871,III,0.8812,0.0831,0.0018,0.0003,0.8812,0.0195,0.0142,69
lcl|NC_002516.2_prot_NP_250561.1_1875,III,0.2746,0.1945,0.0311,0.001,0.2746,0.2581,0.2407,141
lcl|NC_002516.2_prot_NP_250562.1_1876,II,0.7605,0.0512,0.0095,0.7605,0.0522,0.0096,0.117,418
lcl|NC_002516.2_prot_NP_250565.1_1879,I,0.9641,0.0005,0.9641,0.0177,0.0091,0.0008,0.0078,2468
lcl|NC_002516.2_prot_NP_250570.1_1884,III,0.982,0.0149,0.0004,0.0008,0.982,0.001,0.0008,184
lcl|NC_002516.2_prot_NP_250579.1_1893,II,0.4787,0.0298,0.0051,0.4787,0.0137,0.0377,0.4349,469
lcl|NC_002516.2_prot_NP_250585.1_1899,III,0.6913,0.0244,0.0021,0.0015,0.6913,0.2747,0.006,230
lcl|NC_002516.2_prot_NP_250587.1_1901,III,0.7118,0.2296,0.0004,0.0004,0.7118,0.0471,0.0107,389
lcl|NC_002516.2_prot_NP_252905.1_1910,III,0.7334,0.2315,0.0006,0.0005,0.7334,0.0301,0.0039,215
lcl|NC_002516.2_prot_NP_250603.1_1918,III,0.8232,0.0749,0.0025,0.0033,0.8232,0.06,0.0363,226
lcl|NC_002516.2_prot_NP_250613.1_1928,II,0.47,0.4341,0.0061,0.47,0.0376,0.0048,0.0474,1281
lcl|NC_002516.2_prot_NP_250619.1_1934,III,0.6729,0.1724,0.0141,0.0011,0.6729,0.0612,0.0782,98
lcl|NC_002516.2_prot_NP_250632.1_1945,III,0.6809,0.1168,0.0338,0.0032,0.6809,0.0466,0.1187,76
lcl|NC_002516.2_prot_NP_250644.1_1957,II,0.4006,0.3661,0.2065,0.4006,0.0048,0.0142,0.0078,340
lcl|NC_002516.2_prot_NP_250655.1_1968,VI,0.4031,0.1577,0.0038,0.237,0.1388,0.0597,0.4031,111
lcl|NC_002516.2_prot_NP_250657.1_1970,III,0.9985,1e-04,0.0009,0.0004,0.9985,1e-04,0.0,166
lcl|NC_002516.2_prot_NP_250658.1_1971,III,0.7862,0.0895,0.0004,0.0002,0.7862,0.1189,0.0047,85
lcl|NC_002516.2_prot_NP_250663.1_1976,III,0.5653,0.2835,0.0053,0.0046,0.5653,0.0018,0.1395,775
lcl|NC_002516.2_prot_NP_250684.1_1997,VI,0.5154,0.3754,0.0016,0.0018,0.1028,0.0031,0.5154,187
lcl|NC_002516.2_prot_NP_250711.1_2024,III,0.9149,0.0042,0.0031,0.0003,0.9149,0.0552,0.0223,74
lcl|NC_002516.2_prot_NP_250717.1_2030,III,0.6941,0.2627,0.0003,1e-04,0.6941,0.0418,0.0009,130
lcl|NC_002516.2_prot_NP_250719.1_2032,III,0.398,0.316,0.0015,0.0013,0.398,0.2677,0.0155,99
lcl|NC_002516.2_prot_NP_250721.1_2034,III,0.6364,0.0707,0.0032,0.0004,0.6364,0.2807,0.0086,84
lcl|NC_002516.2_prot_NP_250734.1_2047,II,0.4325,0.1892,0.0023,0.4325,0.0447,0.2869,0.0445,624
lcl|NC_002516.2_prot_NP_250738.2_2050,III,0.8719,0.1118,0.0008,0.0006,0.8719,0.0056,0.0094,98
lcl|NC_002516.2_prot_NP_250739.2_2051,VI,0.5196,0.2954,0.017,0.0113,0.1528,0.0039,0.5196,664
